Sales,treatment,Category
181.71,0,book
134.35,0,book
163.55,1,book
85.65,0,book
141.9,1,book
171,0,book
119.9,1,book
267.6,1,book
290.15,1,book
168,1,book
249.05,1,book
225.55,0,book
129.3,0,book
196.4,0,book
200.25,1,book
423.56,0,book
184.75,0,book
178.65,1,book
83.9,1,book
132.35,0,book
112.05,1,book
120.65,1,book
450.95,1,book
130.75,1,book
96.75,0,book
167.9,0,book
143.8,0,book
200,1,book
88.6,0,book
147.6,1,book
393.52,0,coffee
367.57,0,coffee
293.35,1,coffee
201.92,0,coffee
293.21,1,coffee
305.03,0,coffee
420.96,1,coffee
302.88,1,coffee
381.19,1,coffee
252.55,1,coffee
296.13,1,coffee
427.95,0,coffee
358.84,0,coffee
341.07,0,coffee
329.18,1,coffee
310.92,0,coffee
246.09,0,coffee
314.99,1,coffee
319.55,1,coffee
362.47,0,coffee
389,1,coffee
326.86,1,coffee
400.49,1,coffee
233,1,coffee
359,0,coffee
329,0,coffee
349,0,coffee
428.44,1,coffee
334.07,0,coffee
286,1,coffee
84.2,0,food
81.15,0,food
100.05,1,food
17.05,0,food
102.71,1,food
69.19,0,food
98.15,1,food
160.35,1,food
172.51,1,food
19.8,1,food
55.49,1,food
180.31,0,food
160.32,0,food
57.98,0,food
81.02,1,food
32.35,0,food
50.82,0,food
30.8,1,food
122.36,1,food
49.88,0,food
76.62,1,food
42.45,1,food
151.7,1,food
63.05,1,food
120.13,0,food
19.05,0,food
59.91,0,food
114.12,1,food
24.97,0,food
108.12,1,food
