PlantGrowth,SunExposure,WaterFrequency
4.8,None,Daily
4.4,None,Daily
3.2,None,Daily
3.9,None,Daily
4.4,None,Daily
5,Low,Daily
5.2,Low,Daily
5.6,Low,Daily
4.3,Low,Daily
4.8,Low,Daily
6.4,Medium,Daily
6.2,Medium,Daily
4.7,Medium,Daily
5.5,Medium,Daily
5.8,Medium,Daily
6.3,High,Daily
6.4,High,Daily
5.6,High,Daily
4.8,High,Daily
5.8,High,Daily
4.4,None,Weekly
4.2,None,Weekly
3.8,None,Weekly
3.7,None,Weekly
3.9,None,Weekly
4.9,Low,Weekly
5.3,Low,Weekly
5.7,Low,Weekly
5.4,Low,Weekly
4.8,Low,Weekly
5.8,Medium,Weekly
6.2,Medium,Weekly
6.3,Medium,Weekly
6.5,Medium,Weekly
5.5,Medium,Weekly
6,High,Weekly
4.9,High,Weekly
4.6,High,Weekly
5.6,High,Weekly
5.5,High,Weekly
