微蝕量,位置別,掛架別
0.0812,1,1
0.0985,2,1
0.0817,3,1
0.0657,4,1
0.0775,5,1
0.0603,6,1
0.0829,7,1
0.0819,8,1
0.0662,9,1
0.1036,1,8
0.1253,2,8
0.1254,3,8
0.0869,4,8
0.0997,5,8
0.1059,6,8
0.0867,7,8
0.1032,8,8
0.1057,9,8
0.0963,1,15
0.1191,2,15
0.1065,3,15
0.0836,4,15
0.107,5,15
0.0941,6,15
0.0917,7,15
0.1118,8,15
0.0844,9,15
0.1987,1,1
0.1975,2,1
0.162,3,1
0.1595,4,1
0.1508,5,1
0.124,6,1
0.1694,7,1
0.155,8,1
0.1252,9,1
0.2105,1,8
0.1982,2,8
0.1688,3,8
0.1709,4,8
0.1709,5,8
0.1406,6,8
0.1884,7,8
0.186,8,8
0.1527,9,8
0.1321,1,15
0.1501,2,15
0.1983,3,15
0.1074,4,15
0.1194,5,15
0.1684,6,15
0.1213,7,15
0.1406,8,15
0.1817,9,15
