Bias,倍率,尺寸
0.001,219,100
0.0005,219,200
0.0004,219,300
0.0007,219,400
0.0012,219,500
0.0007,219,100
0.0005,219,200
0.0003,219,300
0.0008,219,400
0.0012,219,500
0.0007,219,100
0.0007,219,200
0.0005,219,300
0.0009,219,400
0.0013,219,500
0.0011,219,100
0.0011,219,200
0.0006,219,300
0.0011,219,400
0.0015,219,500
0.0011,219,100
0.0006,219,200
0.0005,219,300
0.001,219,400
0.0013,219,500
0.001,219,100
0.0008,219,200
0.0007,219,300
0.0011,219,400
0.0017,219,500
0.0009,219,100
0.0009,219,200
0.0005,219,300
0.0011,219,400
0.0016,219,500
0.001,219,100
0.0006,219,200
0.0007,219,300
0.0011,219,400
0.0018,219,500
0.0005,219,100
0.0004,219,200
0.0002,219,300
0.0005,219,400
0.0013,219,500
0.0008,219,100
0.0005,219,200
0.0006,219,300
0.0009,219,400
0.0016,219,500
0.0012,308,100
0.0007,308,200
0.0008,308,300
0.0013,308,400
0.0018,308,500
0.0002,308,100
-0.0001,308,200
-0.0002,308,300
0.0005,308,400
0.0011,308,500
0.0016,308,100
0.0014,308,200
0.0014,308,300
0.0016,308,400
0.0023,308,500
0.0008,308,100
0.0008,308,200
0.0005,308,300
0.001,308,400
0.0014,308,500
0.0007,308,100
0.0006,308,200
0.0005,308,300
0.0009,308,400
0.0014,308,500
0.0006,308,100
0.0007,308,200
0.0004,308,300
0.0008,308,400
0.0012,308,500
0.0013,308,100
0.0008,308,200
0.0008,308,300
0.0013,308,400
0.0019,308,500
0.0004,308,100
0.0003,308,200
1.00E-04,308,300
0.0003,308,400
0.0013,308,500
0.0011,308,100
0.0007,308,200
0.0005,308,300
0.0008,308,400
0.0017,308,500
0.001,308,100
0.0005,308,200
0.0002,308,300
0.0006,308,400
0.0014,308,500
